Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
05/07/2019,AQS,170310119,1,0.4,ppm,5,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/08/2019,AQS,170310119,1,0.4,ppm,5,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/09/2019,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/10/2019,AQS,170310119,1,0.4,ppm,5,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/11/2019,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/12/2019,AQS,170310119,1,0.6,ppm,7,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/13/2019,AQS,170310119,1,0.4,ppm,5,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/14/2019,AQS,170310119,1,0.7,ppm,8,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/15/2019,AQS,170310119,1,0.6,ppm,7,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/16/2019,AQS,170310119,1,0.6,ppm,7,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/17/2019,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/18/2019,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/19/2019,AQS,170310119,1,0.5,ppm,6,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/20/2019,AQS,170310119,1,0.3,ppm,3,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
05/21/2019,AQS,170310119,1,0.3,ppm,3,Kingery Near Road #1,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.5786196210494,-87.5574060746384
