Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/01/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,19,79.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/02/2018,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/03/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/04/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/05/2018,AQS,170314201,1,0.7,ppm,8,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/06/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/07/2018,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/08/2018,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/09/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/10/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/11/2018,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/12/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/13/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/14/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/15/2018,AQS,170314201,1,0.3,ppm,3,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/16/2018,AQS,170314201,1,0.8,ppm,9,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/17/2018,AQS,170314201,1,0.9,ppm,10,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/18/2018,AQS,170314201,1,0.3,ppm,3,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/19/2018,AQS,170314201,1,0.3,ppm,3,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/20/2018,AQS,170314201,1,0.3,ppm,3,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/21/2018,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/22/2018,AQS,170314201,1,0.3,ppm,3,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/23/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/24/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/25/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/26/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/27/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/28/2018,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/29/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/30/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
01/31/2018,AQS,170314201,1,0.3,ppm,3,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/01/2018,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/02/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/03/2018,AQS,170314201,1,0.3,ppm,3,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/04/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/05/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/06/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/07/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/08/2018,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/09/2018,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/10/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/11/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/12/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/13/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/14/2018,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/15/2018,AQS,170314201,1,0.3,ppm,3,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/16/2018,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/17/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/18/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/19/2018,AQS,170314201,1,0.4,ppm,5,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/20/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
02/21/2018,AQS,170314201,1,0.5,ppm,6,NORTHBROOK WATER PLANT,19,79.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
03/07/2018,AQS,170314201,1,0.3,ppm,3,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
03/08/2018,AQS,170314201,1,0.6,ppm,7,NORTHBROOK WATER PLANT,24,100.0000,42101,Carbon monoxide,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,42.139996190948,-87.7992269168431
