Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/04/2020,AQS,170310001,1,8.4,ug/m3 LC,35,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/10/2020,AQS,170310001,1,12,ug/m3 LC,50,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/16/2020,AQS,170310001,1,10.7,ug/m3 LC,45,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/22/2020,AQS,170310001,1,14.5,ug/m3 LC,56,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/28/2020,AQS,170310001,1,14.5,ug/m3 LC,56,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/03/2020,AQS,170310001,1,8.7,ug/m3 LC,36,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/09/2020,AQS,170310001,1,12.2,ug/m3 LC,51,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/15/2020,AQS,170310001,1,9,ug/m3 LC,38,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/21/2020,AQS,170310001,1,10,ug/m3 LC,42,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/27/2020,AQS,170310001,1,5.2,ug/m3 LC,22,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
03/04/2020,AQS,170310001,1,4.2,ug/m3 LC,18,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
03/10/2020,AQS,170310001,1,8.5,ug/m3 LC,35,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
03/16/2020,AQS,170310001,1,10.3,ug/m3 LC,43,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
03/22/2020,AQS,170310001,1,10.2,ug/m3 LC,43,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
03/28/2020,AQS,170310001,1,10.6,ug/m3 LC,44,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
04/03/2020,AQS,170310001,1,14.9,ug/m3 LC,57,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
04/15/2020,AQS,170310001,1,3.1,ug/m3 LC,13,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
04/21/2020,AQS,170310001,1,5.6,ug/m3 LC,23,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
04/27/2020,AQS,170310001,1,4.3,ug/m3 LC,18,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
05/03/2020,AQS,170310001,1,5.8,ug/m3 LC,24,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
05/15/2020,AQS,170310001,1,6,ug/m3 LC,25,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
05/27/2020,AQS,170310001,1,14.5,ug/m3 LC,56,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/01/2020,AQS,170310001,3,7,ug/m3 LC,29,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/02/2020,AQS,170310001,3,7.3,ug/m3 LC,30,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/03/2020,AQS,170310001,3,12.6,ug/m3 LC,52,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/04/2020,AQS,170310001,3,8.8,ug/m3 LC,37,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/05/2020,AQS,170310001,3,6.2,ug/m3 LC,26,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/06/2020,AQS,170310001,3,4.9,ug/m3 LC,20,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/07/2020,AQS,170310001,3,7.3,ug/m3 LC,30,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/08/2020,AQS,170310001,3,5.2,ug/m3 LC,22,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/09/2020,AQS,170310001,3,6.4,ug/m3 LC,27,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/10/2020,AQS,170310001,3,13.7,ug/m3 LC,54,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/11/2020,AQS,170310001,3,6.4,ug/m3 LC,27,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/12/2020,AQS,170310001,3,10.6,ug/m3 LC,44,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/13/2020,AQS,170310001,3,9.4,ug/m3 LC,39,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/14/2020,AQS,170310001,3,16.1,ug/m3 LC,59,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/15/2020,AQS,170310001,3,24.6,ug/m3 LC,77,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/16/2020,AQS,170310001,3,11.3,ug/m3 LC,47,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/17/2020,AQS,170310001,3,7,ug/m3 LC,29,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/18/2020,AQS,170310001,3,7.3,ug/m3 LC,30,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/19/2020,AQS,170310001,3,6.7,ug/m3 LC,28,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/20/2020,AQS,170310001,3,8.9,ug/m3 LC,37,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/21/2020,AQS,170310001,3,12.1,ug/m3 LC,51,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/22/2020,AQS,170310001,3,11.4,ug/m3 LC,48,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
