Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
05/31/2018,AQS,170310001,1,7.3,ug/m3 LC,30,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
06/01/2018,AQS,170310001,1,5,ug/m3 LC,21,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
06/07/2018,AQS,170310001,1,7.7,ug/m3 LC,32,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
06/13/2018,AQS,170310001,1,7.8,ug/m3 LC,33,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
06/19/2018,AQS,170310001,1,10,ug/m3 LC,42,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
06/29/2018,AQS,170310001,1,10.6,ug/m3 LC,44,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
07/06/2018,AQS,170310001,1,4.5,ug/m3 LC,19,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
07/07/2018,AQS,170310001,1,7.7,ug/m3 LC,32,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
07/13/2018,AQS,170310001,1,14.5,ug/m3 LC,56,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
07/19/2018,AQS,170310001,1,9.2,ug/m3 LC,38,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
07/25/2018,AQS,170310001,1,8.1,ug/m3 LC,34,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
07/31/2018,AQS,170310001,1,11.5,ug/m3 LC,48,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
08/06/2018,AQS,170310001,1,9.2,ug/m3 LC,38,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
08/12/2018,AQS,170310001,1,15.2,ug/m3 LC,58,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
08/18/2018,AQS,170310001,1,12.8,ug/m3 LC,52,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
08/24/2018,AQS,170310001,1,10.9,ug/m3 LC,45,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
09/01/2018,AQS,170310001,1,7.5,ug/m3 LC,31,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
09/11/2018,AQS,170310001,1,7.1,ug/m3 LC,30,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
09/17/2018,AQS,170310001,1,11.3,ug/m3 LC,47,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
09/23/2018,AQS,170310001,1,9.6,ug/m3 LC,40,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
09/29/2018,AQS,170310001,1,4.1,ug/m3 LC,17,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
10/05/2018,AQS,170310001,1,9.3,ug/m3 LC,39,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
10/11/2018,AQS,170310001,1,2,ug/m3 LC,8,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
10/17/2018,AQS,170310001,1,3.9,ug/m3 LC,16,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
