Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/01/2018,AQS,170310076,1,25.7,ppb,24,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/02/2018,AQS,170310076,1,27.9,ppb,25,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/03/2018,AQS,170310076,1,30.2,ppb,28,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/04/2018,AQS,170310076,1,42,ppb,40,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/05/2018,AQS,170310076,1,65.9,ppb,63,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/06/2018,AQS,170310076,1,41.9,ppb,39,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/07/2018,AQS,170310076,1,18.1,ppb,17,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/19/2018,AQS,170310076,1,18.1,ppb,17,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/20/2018,AQS,170310076,1,19.3,ppb,18,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/21/2018,AQS,170310076,1,30.3,ppb,28,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/22/2018,AQS,170310076,1,26.7,ppb,25,COM ED MAINTENANCE BLDG,22,92.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/23/2018,AQS,170310076,1,24.1,ppb,23,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/24/2018,AQS,170310076,1,33.9,ppb,31,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/25/2018,AQS,170310076,1,30.2,ppb,28,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/26/2018,AQS,170310076,1,16,ppb,15,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/27/2018,AQS,170310076,1,30.1,ppb,28,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
01/28/2018,AQS,170310076,1,47,ppb,44,COM ED MAINTENANCE BLDG,24,100.0000,42602,Nitrogen dioxide (NO2),16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.7513999786378,-87.7134881520007
